strain_id,genome_accession,genome_fasta_path,annotation_gff_path,16S_taxonomy,notes
Chlorp10,,data/genomic/assemblies/Chlorp10.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Chlorp11,,data/genomic/assemblies/Chlorp11.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Chlorp2,,data/genomic/assemblies/Chlorp2.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Chlorp3,,data/genomic/assemblies/Chlorp3.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Chlorp4,,data/genomic/assemblies/Chlorp4.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Chlorp5,,data/genomic/assemblies/Chlorp5.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Chlorp7,,data/genomic/assemblies/Chlorp7.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Chlorp8,,data/genomic/assemblies/Chlorp8.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Diaz11,,data/genomic/assemblies/Diaz11.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Diaz18,,data/genomic/assemblies/Diaz18.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Diaz21,,data/genomic/assemblies/Diaz21.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Diaz23,,data/genomic/assemblies/Diaz23.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Diaz26,,data/genomic/assemblies/Diaz26.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Diaz28,,data/genomic/assemblies/Diaz28.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Diaz8,,data/genomic/assemblies/Diaz8.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Dimeth1,,data/genomic/assemblies/Dimeth1.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Dimeth2,,data/genomic/assemblies/Dimeth2.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Dimeth3,,data/genomic/assemblies/Dimeth3.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Dimeth4,,data/genomic/assemblies/Dimeth4.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Dimeth7,,data/genomic/assemblies/Dimeth7.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Dimeth8,,data/genomic/assemblies/Dimeth8.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Dimeth9,,data/genomic/assemblies/Dimeth9.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Mal1,,data/genomic/assemblies/Mal1.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Mal2,,data/genomic/assemblies/Mal2.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Mal3,,data/genomic/assemblies/Mal3.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Mal4,,data/genomic/assemblies/Mal4.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Mal5,,data/genomic/assemblies/Mal5.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Mal6,,data/genomic/assemblies/Mal6.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Mal7,,data/genomic/assemblies/Mal7.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
Mal8,,data/genomic/assemblies/Mal8.ragtag.scaffolds.fasta,,,RagTag scaffolded assembly
